name,country,sport,substance,webpage,date_of_birth,longitude,latitude
Fritz Aanes,Norway,Greco-Roman wrestling,"Norandrosterone, Noretiocholanolone",/wiki/Fritz_Aanes,1978-07-20,8.7876653,61.1529386
Tom Aage Aarnes,Norway,Ski jumping,Amphetamine,/wiki/Tom_Aage_Aarnes,1977-01-25,8.7876653,61.1529386
Mariya Abakumova,Russia,Athletics,Dehydrochlormethyltestosterone (Turinabol),/wiki/Mariya_Abakumova,1986-01-15,97.7453061,64.6863136
Sara Abbazova,Azerbaijan,Powerlifting,Nandrolone,/w/index.php?title=Sara_Abbazova&action=edit&redlink=1,,47.7872508,40.3936294
Damin Abbiate,Argentina,Weightlifting,Nandrolone,/w/index.php?title=Damin_Abbiate&action=edit&redlink=1,,-64.9672817,-34.9964963
Salwan Abbood,Egypt,Weightlifting,Stanozolol,/wiki/Salwan_Abbood,1991-09-26,29.2675469,26.2540493
Kalifa Abdalla,Libya,Weightlifting,Metandienone,/w/index.php?title=Kalifa_Abdalla&action=edit&redlink=1,,18.1236723,26.8234472
Walid Abdelaal,Egypt,Wrestling,Stanozolol,/w/index.php?title=Walid_Abdelaal&action=edit&redlink=1,,29.2675469,26.2540493
Ibrahim Abdelbaki,Egypt,Wrestling,Methylhexaneamine,/wiki/Ibrahim_Abdelbaki,1988-02-06,29.2675469,26.2540493
Yamil Abdellatif,Morocco,Weightlifting,Cannabis,/w/index.php?title=Yamil_Abdellatif&action=edit&redlink=1,,-7.3362482,31.1728205
Donia Abdelrahman,Egypt,Weightlifting,Hydroxystanozolol,/w/index.php?title=Donia_Abdelrahman&action=edit&redlink=1,,29.2675469,26.2540493
Djamolidine Abdoujaparov,Uzbekistan,Cycling,"Clenbuterol, bromantan",/wiki/Djamolidine_Abdoujaparov,1964-02-28,63.9528098,41.32373
Hashim Abdulkareem,Egypt,Weightlifting,Norandrosterone,/w/index.php?title=Hashim_Abdulkareem&action=edit&redlink=1,,29.2675469,26.2540493
Muminjon Abdullaev,Uzbekistan,Wrestling,Nandrolone,/wiki/Muminjon_Abdullaev,1989-12-24,63.9528098,41.32373
Inga Abitova,Russia,Athletics,Dehydrochlormethyltestosterone (Turinabol),/wiki/Inga_Abitova,,97.7453061,64.6863136
Alex Acco,Brazil,Beach volleyball,"Norandrosterone, Noretiocholanolone",/w/index.php?title=Alex_Acco&action=edit&redlink=1,,-53.2,-10.3333333
Olimbek Achildiev,Uzbekistan,Weightlifting,,/w/index.php?title=Olimbek_Achildiev&action=edit&redlink=1,,63.9528098,41.32373
