,name,country,sport,substance,webpage,date_of_birth,longitude,latitude
0,Fritz Aanes,Norway,Greco-Roman wrestling,"norandrosterone,noretiocholanolone",/wiki/Fritz_Aanes,1978-07-20,8.7876653,61.1529386
1,Tom Aage Aarnes,Norway,Ski jumping,amphetamine,/wiki/Tom_Aage_Aarnes,1977-01-25,8.7876653,61.1529386
2,Mariya Abakumova,Russia,Athletics,dehydrochlormethyltestosterone,/wiki/Mariya_Abakumova,1986-01-15,97.7453061,64.6863136
3,Sara Abbazova,Azerbaijan,Powerlifting,nandrolone,/w/index.php?title=Sara_Abbazova&action=edit&redlink=1,,47.7872508,40.3936294
4,Damin Abbiate,Argentina,Weightlifting,nandrolone,/w/index.php?title=Damin_Abbiate&action=edit&redlink=1,,-64.9672817,-34.9964963
5,Salwan Abbood,Egypt,Weightlifting,stanozolol,/wiki/Salwan_Abbood,1991-09-26,29.2675469,26.2540493
6,Kalifa Abdalla,Libya,Weightlifting,metandienone,/w/index.php?title=Kalifa_Abdalla&action=edit&redlink=1,,18.1236723,26.8234472
7,Walid Abdelaal,Egypt,Wrestling,stanozolol,/w/index.php?title=Walid_Abdelaal&action=edit&redlink=1,,29.2675469,26.2540493
8,Ibrahim Abdelbaki,Egypt,Wrestling,methylhexaneamine,/wiki/Ibrahim_Abdelbaki,1988-02-06,29.2675469,26.2540493
9,Yamil Abdellatif,Morocco,Weightlifting,cannabis,/w/index.php?title=Yamil_Abdellatif&action=edit&redlink=1,,-7.3362482,31.1728205
10,Donia Abdelrahman,Egypt,Weightlifting,hydroxystanozolol,/w/index.php?title=Donia_Abdelrahman&action=edit&redlink=1,,29.2675469,26.2540493
11,Djamolidine Abdoujaparov,Uzbekistan,Cycling,"clenbuterol,bromantan",/wiki/Djamolidine_Abdoujaparov,1964-02-28,63.9528098,41.32373
12,Hashim Abdulkareem,Egypt,Weightlifting,norandrosterone,/w/index.php?title=Hashim_Abdulkareem&action=edit&redlink=1,,29.2675469,26.2540493
13,Muminjon Abdullaev,Uzbekistan,Wrestling,nandrolone,/wiki/Muminjon_Abdullaev,1989-12-24,63.9528098,41.32373
14,Inga Abitova,Russia,Athletics,dehydrochlormethyltestosterone,/wiki/Inga_Abitova,,97.7453061,64.6863136
15,Alex Acco,Brazil,Beach volleyball,"norandrosterone,noretiocholanolone",/w/index.php?title=Alex_Acco&action=edit&redlink=1,,-53.2,-10.3333333
16,Olimbek Achildiev,Uzbekistan,Weightlifting,,/w/index.php?title=Olimbek_Achildiev&action=edit&redlink=1,,63.9528098,41.32373
17,Johan Ackermann,South Africa,Rugby union,nandrolone,/wiki/Johan_Ackermann,1970-06-03,,
18,Ali Adams,United Kingdom,Boxing,stanozolol,/wiki/Ali_Adams,1991-11-06,,
19,Phillip Adams,Australia,Shooting,hydrochlorothiazide,/wiki/Phillip_Adams_(sport_shooter),1945-07-29,134.755,-24.7761086
20,Adham Khazeiq,Palestine,Weightlifting,"nandrolone,norandrosterone",/w/index.php?title=Adham_Khazeiq&action=edit&redlink=1,,,
21,Andre Agassi,United States,Tennis,methamphetamine,/wiki/Andre_Agassi,1970-04-29,,
22,Uche Agu,Nigeria,Weightlifting,norandrosterone,/w/index.php?title=Uche_Agu&action=edit&redlink=1,,7.9999721,9.6000359
23,Abdulmunem Ahmed,Iraq,Weightlifting,methyltestosterone,/w/index.php?title=Abdulmunem_Ahmed&action=edit&redlink=1,,44.1749775,33.0955793
24,All Ahmed,Yemen,Weightlifting,"metandienone,norandrosterone,anabolic steroids",/w/index.php?title=All_Ahmed&action=edit&redlink=1,,47.8915271,16.3471243
25,Naveed Ahmed Butt,Pakistan,Powerlifting,methandienone metabolites,/w/index.php?title=Naveed_Ahmed_Butt&action=edit&redlink=1,,71.247499,30.3308401
26,Mirambek Ainagulov,Kazakhstan,Wrestling,furosemide,/wiki/Mirambek_Ainagulov,1994-02-17,66.7780818,48.1012954
27,Lizandro Ajcú,Guatemala,Cycling,erythropoietin,/w/index.php?title=Lizandro_Ajc%C3%BA&action=edit&redlink=1,,-90.345759,15.5855545
28,Karhan Akay,Turkey,Swimming,methandienone,/w/index.php?title=Karhan_Akay&action=edit&redlink=1,,34.9249653,38.9597594
29,Ali Akbar,Pakistan,Weightlifting,,/w/index.php?title=Ali_Akbar_(weightlifter)&action=edit&redlink=1,,71.247499,30.3308401
30,Alibek Akbayev,Russia,Wrestling,,/w/index.php?title=Alibek_Akbayev&action=edit&redlink=1,,97.7453061,64.6863136
31,Albina Akhatova,Russia,Biathlon,nikethamideerythropoietin,/wiki/Albina_Akhatova,1976-11-13,97.7453061,64.6863136
32,Igor Akhlyustin,Russia,Swimming,,/w/index.php?title=Igor_Akhlyustin&action=edit&redlink=1,,97.7453061,64.6863136
33,Shoaib Akhtar,Pakistan,Cricket,nandrolone,/wiki/Shoaib_Akhtar,1975-08-13,71.247499,30.3308401
34,Atrhouros Akritidis,Greece,Weightlifting,"methyltrienolone,buprenorphine",/w/index.php?title=Atrhouros_Akritidis&action=edit&redlink=1,,21.9877132,38.9953683
35,Mohammed Al-Aifuri,Iraq,Weightlifting,metandienone,/w/index.php?title=Mohammed_Al-Aifuri&action=edit&redlink=1,,44.1749775,33.0955793
36,Abdul Rehman Al Bader,Kuwait,Swimming,methylhexaneamine,/w/index.php?title=Abdul_Rehman_Al_Bader&action=edit&redlink=1,,47.4979476,29.2733964
37,Noor Alam,Pakistan,Cycling,nandrolone,/w/index.php?title=Noor_Alam_(cyclist)&action=edit&redlink=1,,71.247499,30.3308401
38,Carlos Alberto de Jesus,Brazil,Football (soccer),"hydrochlorothiazide,tamoxifen",/wiki/Carlos_Alberto_de_Jesus,1984-12-11,-53.2,-10.3333333
39,Rolf Aldag,Germany,Cycling,erythropoietin,/wiki/Rolf_Aldag,1968-08-25,10.4478313,51.1638175
40,Darrell Alderman,United States,Drag racing,cocaine,/w/index.php?title=Darrell_Alderman&action=edit&redlink=1,,,
41,Faisal Aldossri,Saudi Arabia,Tennis,,/w/index.php?title=Faisal_Aldossri&action=edit&redlink=1,,,
42,Denis Alekseyev,Russia,Athletics,dehydrochlormethyltestosterone,/wiki/Denis_Alekseyev,1987-12-21,97.7453061,64.6863136
43,Evgeny Aleshin,Russia,Swimming,,/wiki/Evgeny_Aleshin,1979-05-04,97.7453061,64.6863136
44,Jose Alexis Valida,Spain,Volleyball,cocaine,/w/index.php?title=Jose_Alexis_Valida&action=edit&redlink=1,,-4.8379791,39.3260685
45,Stephen Alfred,United States,Cycling (track),"norandrosteronetestosterone,hcg   refusal to submit to doping control",/w/index.php?title=Stephen_Alfred&action=edit&redlink=1,,,
46,Muhammad Al-Ghaferi,United Arab Emirates,Swimming,methylhexaneamine,/w/index.php?title=Muhammad_Al-Ghaferi&action=edit&redlink=1,,,
47,Dilsher Ali,Pakistan,Cycling,nandrolone,/w/index.php?title=Dilsher_Ali&action=edit&redlink=1,,71.247499,30.3308401
48,Hram Ali,Iraq,Weightlifting,metandienone,/w/index.php?title=Hram_Ali&action=edit&redlink=1,,44.1749775,33.0955793
49,Javed Ali,Pakistan,Bodybuilding,nandrolone,/w/index.php?title=Javed_Ali_(bodybuilder)&action=edit&redlink=1,,71.247499,30.3308401
50,Khalid Ali,Pakistan,Bodybuilding,,/w/index.php?title=Khalid_Ali_(bodybuilder)&action=edit&redlink=1,,71.247499,30.3308401
51,Sadam Ali,United States,Boxing,cathine,/wiki/Sadam_Ali,1988-09-26,,
52,Amir Aliakbari,Iran,Wrestling,anabolic steroids,/wiki/Amir_Aliakbari,1987-12-11,54.5643516,32.6475314
53,Waleed Ali Alghmdi,Saudi Arabia,Water polo,cannabis,/w/index.php?title=Waleed_Ali_Alghmdi&action=edit&redlink=1,,,
54,Saeid Alihosseini,Iran,Weightlifting,metandienone,/wiki/Saeid_Alihosseini,1988-02-02,54.5643516,32.6475314
55,Abdullah Ali Rami,Yemen,Weightlifting,"metandienone,ephedrine",/w/index.php?title=Abdullah_Ali_Rami&action=edit&redlink=1,,47.8915271,16.3471243
56,Mohsen Alizadeh,Iran,Water polo,norandrosterone and metabolites,/w/index.php?title=Mohsen_Alizadeh&action=edit&redlink=1,,54.5643516,32.6475314
57,Yousri Yaseer Allaili,Saudi Arabia,Water polo,methamphetamine,/w/index.php?title=Yousri_Yaseer_Allaili&action=edit&redlink=1,,,
58,David Allen,United Kingdom,Rugby League,metabolite of cocaine,/wiki/David_Allen_(rugby_league),1985-09-15,,
59,A. J. Allmendinger,United States,Auto racing,amphetamines,/wiki/A._J._Allmendinger,1981-12-16,,
60,Carlos Almanzar,Dominican Republic,Baseball,steroids,/wiki/Carlos_Almanzar,1973-11-06,,
61,Alimohamad Almharous,Saudi Arabia,Weightlifting,metandienone,/w/index.php?title=Alimohamad_Almharous&action=edit&redlink=1,,,
62,Bassam Almohammad Alshahin,Syria,Weightlifting,"boldenone,androsterone",/w/index.php?title=Bassam_Almohammad_Alshahin&action=edit&redlink=1,,39.0494106,34.6401861
63,Jasim Yusuf Al Nabhan,Bahamas,Beach volleyball,methylhexaneamine,/w/index.php?title=Jasim_Yusuf_Al_Nabhan&action=edit&redlink=1,,-78.0000547,24.7736546
64,Mohamed Al Saedi,Iraq,Wrestling,sibutramine,/w/index.php?title=Mohamed_Al_Saedi&action=edit&redlink=1,,44.1749775,33.0955793
65,Saoud AlShehhi,United Arab Emirates,Weightlifting,"stanozolol,hydroxystanozolol",/w/index.php?title=Saoud_AlShehhi&action=edit&redlink=1,,,
66,Thiago Alves,Brazil,Mixed Martial Arts,spironolactone,/wiki/Thiago_Alves_(fighter),1983-10-03,-53.2,-10.3333333
67,Lyle Alzado,United States,American football,anabolic steroids,/wiki/Lyle_Alzado,1949-04-03,,
68,Nehal Ameur,Egypt,Swimming,methandienone,/w/index.php?title=Nehal_Ameur&action=edit&redlink=1,,29.2675469,26.2540493
69,Wafa Ammouri,Morocco,Weightlifting,,/w/index.php?title=Wafa_Ammouri&action=edit&redlink=1,,-7.3362482,31.1728205
70,Uwe Ampler,Germany,Cycling,steroids,/wiki/Uwe_Ampler,1964-10-11,10.4478313,51.1638175
71,Chris Andersen,United States,Basketball,,/wiki/Chris_Andersen,1978-07-07,,
72,Kim Andersen,Denmark,Cycling,"undisclosed,norephedrine undisclosed,undisclosed,undisclosed  testosterone amineptine",/wiki/Kim_Andersen_(cyclist),1958-10-02,10.3333283,55.670249
73,Peter Riis Andersen,Denmark,Mountain biking,erythropoietin,/wiki/Peter_Riis_Andersen,1980-07-25,10.3333283,55.670249
74,Darryl Anderson,United Kingdom,Motorcycle racing,,/w/index.php?title=Darryl_Anderson&action=edit&redlink=1,,,
